rok,delka,hodnoceni_pocet,zanr,zeme
2010,44.0,264,5,10
2011,44.0,274,5,10
1980,66.0,15,22,11
2004,85.0,69,5,10
2004,29.0,22,12,10
2005,29.0,18,12,10
2007,26.0,16,12,10
2010,25.0,14,12,10
2010,31.0,18,12,10
1930,125.0,127,3,10
2003,25.0,57,2,3
2001,100.0,292,19,10
1982,60.0,26,4,10
1992,111.0,10,5,10
2007,45.0,304,24,11
1970,9.0,17,14,4
2006,45.0,14,13,10
2007,43.0,12,13,10
2008,43.0,14,13,10
2018,42.0,43,13,10
2003,80.0,21,13,10
1992,86.0,11,12,10
2000,90.0,11,3,1
2007,22.0,165,12,10
2005,69.0,210,22,12
2020,42.0,72,1,10
2007,42.0,108,12,10
2007,42.0,101,12,10
2009,44.0,91,12,10
2017,40.0,84,12,10
2006,22.0,525,12,10
2009,22.0,413,12,10
2013,22.0,335,12,10
2005,44.0,485,10,10
2006,43.0,362,10,10
2006,55.0,311,10,10
2008,1007.0,663,10,10
2009,60.0,238,10,10
2014,42.0,143,10,10
2015,42.0,132,10,10
2006,103.0,1362,5,10
2005,54.0,33,4,9
1995,56.0,54,5,12
2022,88.0,63,11,10
1972,73.0,13,17,10
2005,7.0,39,2,12
2004,24.0,34,2,3
2004,24.0,26,2,3
2005,24.0,15,2,3
2002,92.0,31,2,3
2004,8784.0,118,2,3
2007,24.0,15,2,3
1992,85.0,51,12,10
2010,44.0,16,5,10
2011,42.0,15,12,10
2007,50.0,13,5,12
1998,62.0,390,18,12
1998,66.0,138,5,12
2006,56.0,30,4,12
2007,43.0,72,5,10
2009,43.0,60,5,10
2007,105.0,102,5,11
1982,109.0,282,12,1
1980,110.0,427,12,1
2009,859.0,10,12,10
2006,82.0,5778,5,10
1896,1.0,92,14,10
1943,8.0,38,14,10
1981,112.0,22,12,11
2007,98.0,7382,12,10
2007,114.0,24968,5,10
2007,85.0,4779,13,10
1987,122.0,41,4,3
2016,44.0,45,4,4
2016,44.0,53,4,4
2018,50.0,29,4,4
1902,1.0,31,14,10
2007,30.0,274,4,9
2007,118.0,407,10,10
1974,10.0,43,2,4
1962,2.0,42,2,11
2007,83.0,1152,2,10
2007,91.0,2279,5,10
2010,103.0,13995,10,10
2007,52.0,14,5,12
2007,92.0,782,1,10
2005,88.0,17,10,10
1997,57.0,41,4,12
2005,87.0,143,22,4
2006,27.0,112,12,10
1900,1.0,113,14,11
2012,47.0,46,5,11
2008,90.0,115,13,10
2005,1196.0,31,2,1
2006,104.0,54,22,3
1972,11.0,40,14,10
1904,4.0,13,14,11
2009,22.0,326,2,10
1982,99.0,11,2,3
2009,24.0,95,2,3
2012,24.0,91,2,3
2012,24.0,79,2,3
2014,24.0,73,2,3
2007,125.0,16,5,6
