delka,zeme,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zanr_id,zeme_id
22.0,USA,1996,76.0,53,Komedie,12,10
22.0,USA,1998,74.0,52,Komedie,12,10
3.0,Velká Británie,2020,91.0,18,Krátkometrážní,14,11
147.0,Rakousko,1962,65.0,33,Drama,5,8
61.0,USA,2020,69.0,28,Dokumentární,4,10
7.0,Slovensko,2020,48.0,20,Komedie,12,9
85.0,USA,1998,28.0,12,Krimi,13,10
9.0,USA,2019,70.0,115,Krátkometrážní,14,10
400.0,Slovensko,2020,51.0,87,Rodinný,22,9
103.0,Německo,2020,66.0,39,Drama,5,6
45.0,USA,2020,79.0,28,Dokumentární,4,10
1035.0,Velká Británie,(2020–2024),68.0,144,Krimi,13,11
89.0,Česko,2020,71.0,402,Dokumentární,4,12
22.0,USA,2000,81.0,255,Animovaný,2,10
22.0,USA,2001,86.0,259,Animovaný,2,10
22.0,USA,2008,82.0,223,Animovaný,2,10
22.0,USA,2008,83.0,202,Animovaný,2,10
22.0,USA,2018,83.0,244,Animovaný,2,10
5.0,USA,1991,68.0,36,Krátkometrážní,14,10
51.0,Španělsko,2021,82.0,352,Drama,5,13
52.0,Velká Británie,2020,74.0,32,Drama,5,11
61.0,USA,2020,80.0,52,Dokumentární,4,10
155.0,Česko,2015,80.0,16,Drama,5,12
170.0,USA,2001,60.0,533,Fantasy,7,10
910.0,Japonsko,(2020–2024),73.0,193,Animovaný,2,3
70.0,USA,1939,78.0,45,Western,29,10
41.0,Španělsko,2020,68.0,31,Drama,5,13
25.0,USA,2020,81.0,41,Animovaný,2,10
45.0,USA,2021,55.0,65,Sci-Fi,24,10
50.0,USA,2022,63.0,1 152,Akční,1,10
7.0,Německo,2019,58.0,24,Krátkometrážní,14,6
