delka,zeme,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zanr_id,zeme_id
4.0,USA,2008,42.0,12,Krátkometrážní,14,10
48.0,Česko,2018,55.0,101,Krimi,13,12
45.0,Česko,2019,56.0,106,Krimi,13,12
85.0,Francie,2016,80.0,11,Dokumentární,4,1
24.0,Japonsko,2017,81.0,33,Animovaný,2,3
57.0,USA,2002,53.0,12,Krátkometrážní,14,10
124.0,USA,2016,54.0,39,Pornografický,19,10
108.0,USA,2017,54.0,318,Drama,5,10
95.0,Polsko,2016,65.0,20,Drama,5,7
3.0,USA,2014,55.0,12,Krátkometrážní,14,10
46.0,USA,2007,58.0,10,Krátkometrážní,14,10
4.0,Velká Británie,1979,77.0,40,Krátkometrážní,14,11
30.0,USA,2017,80.0,13,Komedie,12,10
252.0,Kanada,2019,79.0,29,Drama,5,4
42.0,Slovensko,2017,56.0,69,Komedie,12,9
83.0,USA,2015,90.0,14,Dokumentární,4,10
101.0,USA,2017,69.0,318,Drama,5,10
26.0,USA,2017,73.0,194,Komedie,12,10
35.0,USA,2008,30.0,10,Krátkometrážní,14,10
72.0,Německo,1990,63.0,39,Komedie,12,6
69.0,USA,2017,70.0,25,Komedie,12,10
34.0,Velká Británie,2008,78.0,10,Krátkometrážní,14,11
32.0,USA,2017,73.0,112,Komedie,12,10
65.0,USA,1958,55.0,182,Sci-Fi,24,10
52.0,Francie,2013,75.0,127,Dokumentární,4,1
13.0,Česko,2017,82.0,48,Animovaný,2,12
10.0,Česko,2014,47.0,15,Krátkometrážní,14,12
78.0,USA,2005,43.0,44,Komedie,12,10
9.0,Česko,2016,34.0,10,Komedie,12,12
43.0,USA,2019,84.0,193,Drama,5,10
43.0,USA,2020,78.0,147,Drama,5,10
43.0,USA,2021,55.0,136,Drama,5,10
83.0,Česko,2019,64.0,1 770,Drama,5,12
26.0,Česko,2015,61.0,24,Dokumentární,4,12
80.0,USA,2015,16.0,32,Thriller,28,10
38.0,Česko,2016,72.0,38,Krátkometrážní,14,12
288.0,Japonsko,2017,54.0,34,Animovaný,2,3
52.0,Francie,2017,40.0,13,Dokumentární,4,1
55.0,Česko,2017,65.0,183,Krimi,13,12
92.0,Itálie,1963,73.0,304,Mysteriózní,17,2
2.0,Velká Británie,1964,50.0,16,Hudební,11,11
43.0,USA,2018,70.0,33,Akční,1,10
42.0,USA,2021,68.0,25,Akční,1,10
48.0,USA,2019,87.0,156,Komedie,12,10
44.0,USA,2019,74.0,23,Drama,5,10
35.0,USA,2013,40.0,11,Krátkometrážní,14,10
30.0,Velká Británie,2009,56.0,21,Krátkometrážní,14,11
91.0,Kanada,2016,36.0,176,Thriller,28,4
43.0,USA,2019,74.0,14,Drama,5,10
22.0,USA,2018,43.0,13,Drama,5,10
94.0,USA,2015,47.0,67,Drama,5,10
1.0,USA,1991,54.0,14,Hudební,11,10
43.0,USA,2018,85.0,33,Drama,5,10
45.0,USA,2017,58.0,23,Reality-TV,21,10
276.0,Japonsko,2017,51.0,15,Animovaný,2,3
3.0,USA,2017,81.0,45,Krátkometrážní,14,10
42.0,USA,2018,74.0,16,Dobrodružný,3,10
41.0,USA,2018,72.0,13,Dobrodružný,3,10
52.0,Španělsko,2020,90.0,1 140,Akční,1,13
45.0,Japonsko,2013,61.0,23,Animovaný,2,3
4.0,Česko,2016,20.0,16,Krátkometrážní,14,12
10.0,USA,1981,71.0,43,Krátkometrážní,14,10
31.0,USA,2019,86.0,118,Komedie,12,10
34.0,USA,2019,91.0,116,Komedie,12,10
