delka,zanry,zeme,rok,hodnoceni_procenta,hodnoceni_pocet
NaN,Komedie,Česko,NaN,66,29
90,"Krimi,Thriller",USA,2008,35,115
NaN,Krátkometrážní,Francie,NaN,NaN,NaN
119,"Drama,Romantický",NaN,2008,77,22 531
20,"Animovaný,Krátkometrážní",NaN,1974,90,46
1196,Animovaný,Francie,(2005–2008),53,31
104,"Rodinný,Drama",Japonsko,2006,61,54
80,Drama,NaN,1943,NaN,NaN
67,"Akční,Krimi,Thriller",NaN,2004,NaN,NaN
100,Dokumentární,NaN,2007,59,143
94,"Horor,Thriller,Akční",NaN,2007,43,1 323
75,Drama,NaN,1989,61,134
88,Drama,USA,2006,NaN,9
90,"Rodinný,Muzikál",NaN,2006,NaN,3
NaN,Dokumentární,Velká Británie,NaN,NaN,NaN
24,"Dokumentární,Krátkometrážní",USA,1999,NaN,NaN
27,Krátkometrážní,USA,1985,NaN,NaN
NaN,"Komedie,Romantický",USA,NaN,NaN,NaN
11,"Krátkometrážní,Animovaný",USA,1972,63,40
NaN,,USA,NaN,NaN,NaN
4,"Krátkometrážní,Dokumentární",Velká Británie,1904,51,13
100,"Dobrodružný,Animovaný,Fantasy",USA,2003,NaN,6
97,"Dobrodružný,Drama,Rodinný,Fantasy",NaN,2009,60,2 366
22,"Animovaný,Sci-Fi,Akční,Dobrodružný",USA,2009,81,326
128,"Krimi,Drama",NaN,2008,NaN,2
30,Rodinný,Česko,1996,NaN,2
44,"Dokumentární,Dobrodružný,Reality-TV",USA,2010,NaN,1
44,"Dokumentární,Dobrodružný,Reality-TV",USA,2011,NaN,NaN
83,"Dokumentární,Dobrodružný,Reality-TV",USA,2019,NaN,1
42,"Dokumentární,Dobrodružný,Reality-TV",USA,2019,NaN,NaN
17,"Dokumentární,Historický",Česko,2007,NaN,9
NaN,"Krátkometrážní,Komedie",NaN,NaN,NaN,1
99,"Animovaný,Akční,Dobrodružný,Sci-Fi",Japonsko,1982,64,11
55,"Drama,Krimi",USA,2006,NaN,2
45,,NaN,1957,NaN,NaN
24,"Animovaný,Akční,Drama,Fantasy,Mysteriózní,Psychologický,Sci-Fi",Japonsko,2007,NaN,2
90,"Animovaný,Akční,Komedie,Sci-Fi",NaN,2006,73,191
25,"Komedie,Hudební,Krátkometrážní",NaN,1976,77,13
NaN,Drama,USA,NaN,NaN,1
87,"Komedie,Drama",USA,1933,NaN,NaN
24,"Animovaný,Akční,Drama,Fantasy",Japonsko,2009,90,95
24,"Animovaný,Akční,Drama,Fantasy",Japonsko,2012,93,91
24,"Animovaný,Akční,Drama,Fantasy",Japonsko,2012,91,79
24,"Animovaný,Akční,Drama,Fantasy",Japonsko,2014,93,73
10,"Dokumentární,Krátkometrážní",NaN,1956,NaN,2
52,Dokumentární,Francie,2007,NaN,NaN
125,Drama,Německo,2007,59,16
30,"Dokumentární,Krimi",Velká Británie,2007,NaN,1
30,"Dokumentární,Krimi",Velká Británie,2008,NaN,1
113,Drama,Španělsko,2007,68,39
7,"Animovaný,Komedie,Rodinný",Velká Británie,2009,88,26
7,"Animovaný,Komedie,Rodinný",Velká Británie,2016,91,17
43,"Krimi,Drama,Thriller,Mysteriózní",USA,2012,NaN,3
42,"Krimi,Drama,Thriller,Mysteriózní",USA,2012,NaN,3
42,"Krimi,Drama,Thriller,Mysteriózní",USA,2013,NaN,3
110,"Komedie,Romantický",Česko,2012,62,5 960
10,"Dokumentární,Krátkometrážní",NaN,1956,NaN,NaN
NaN,"Krátkometrážní,Komedie",NaN,NaN,NaN,NaN
168,"Drama,Krimi,Komedie,Akční",NaN,1993,NaN,1
48,"Drama,Romantický",NaN,2004,NaN,NaN
14,"Dokumentární,Krátkometrážní",NaN,1956,NaN,NaN
45,"Dokumentární,Životopisný",USA,1997,77,82
3,Krátkometrážní,USA,1996,NaN,5
64,Dobrodružný,USA,1930,NaN,NaN
NaN,Dokumentární,NaN,NaN,NaN,NaN
25,"Animovaný,Drama,Hudební,Komedie,Romantický",Japonsko,2007,NaN,2
57,Pohádka,NaN,1979,61,68
612,Drama,USA,2007,80,358
44,"Komedie,Drama",USA,2008,NaN,2
44,"Komedie,Drama",USA,2010,NaN,2
590,"Drama,Krimi,Mysteriózní,Thriller",USA,2007,79,22
NaN,Drama,Polsko,NaN,NaN,1
91,Dokumentární,USA,2007,81,613
73,Dokumentární,Velká Británie,2006,NaN,2
99,Drama,USA,2009,57,48
22,"Komedie,Romantický",USA,2010,NaN,1
21,"Komedie,Romantický",USA,2010,NaN,1
NaN,,NaN,NaN,NaN,NaN
25,"Animovaný,Drama,Sci-Fi,Thriller",Japonsko,2005,NaN,NaN
341,"Drama,Sci-Fi",Velká Británie,2016,80,191
91,Romantický,NaN,1987,NaN,NaN
11,"Dokumentární,Krátkometrážní",NaN,1957,NaN,NaN
7,"Animovaný,Krátkometrážní",NaN,1955,NaN,NaN
286,Komedie,USA,(2007–2008),69,71
99,"Drama,Válečný,Historický",NaN,2008,70,878
18,"Dokumentární,Krátkometrážní",Velká Británie,1954,NaN,NaN
85,Dokumentární,USA,2005,NaN,6
33,"Krátkometrážní,Drama",NaN,1957,NaN,NaN
125,Dokumentární,USA,2007,NaN,NaN
22,Komedie,USA,2009,NaN,1
1990,"Drama,Fantasy",USA,(2007–2010),47,599
88,Komedie,NaN,2007,52,109
19,"Komedie,Krátkometrážní",Francie,2002,NaN,NaN
102,"Krimi,Film-Noir,Drama",USA,1950,64,21
17,"Dokumentární,Krátkometrážní",USA,1996,NaN,1
29,"Komedie,Fantasy,Muzikál",Velká Británie,2004,74,14
77,"Horor,Sci-Fi,Akční,Thriller",USA,2006,NaN,4
45,Drama,NaN,1997,NaN,NaN
85,"Krimi,Drama",NaN,2008,NaN,3
75,Dokumentární,Německo,2006,NaN,NaN
45,"Komedie,Drama,Romantický",USA,2009,NaN,4
60,"Drama,Thriller",Velká Británie,1961,NaN,NaN
42,"Drama,Romantický,Válečný",USA,2007,NaN,NaN
3,Krátkometrážní,Francie,1968,60,11
7,"Horor,Krátkometrážní",USA,2004,NaN,3
91,"Akční,Thriller",Velká Británie,2009,57,4 726
28,"Krátkometrážní,Dokumentární",USA,1975,NaN,1
20,"Animovaný,Komedie",Polsko,2006,NaN,NaN
20,"Animovaný,Komedie",Polsko,2007,NaN,NaN
59,Komedie,Velká Británie,2012,NaN,7
210,Dokumentární,USA,2007,90,285
92,"Drama,Horor,Thriller",USA,2006,55,39
270,"Krimi,Drama,Thriller",NaN,2005,NaN,3
91,"Krimi,Drama,Mysteriózní,Thriller",NaN,2009,58,13
50,"Animovaný,Drama,Romantický",Japonsko,1989,35,11
94,"Drama,Hudební",USA,2007,46,149
95,Thriller,Kanada,2006,26,91
7,"Komedie,Krátkometrážní",NaN,2003,NaN,5
NaN,,Japonsko,NaN,NaN,NaN
104,"Rodinný,Drama,Komedie",NaN,1972,NaN,3
79,Drama,NaN,1985,64,27
60,Drama,USA,2007,NaN,4
NaN,,NaN,NaN,NaN,NaN
10,"Animovaný,Krátkometrážní,Rodinný,Fantasy",USA,1935,NaN,4
8,"Animovaný,Krátkometrážní,Rodinný,Komedie",USA,1937,NaN,6
104,"Drama,Komedie",NaN,2007,58,24
11,"Dokumentární,Krátkometrážní",Česko,1994,NaN,4
25,"Rodinný,Krimi",Německo,2008,NaN,NaN
30,"Rodinný,Krimi",Německo,2021,NaN,NaN
8,"Animovaný,Krátkometrážní,Komedie",Kanada,1974,NaN,4
90,"Komedie,Muzikál",USA,1937,NaN,3
11,"Animovaný,Komedie,Rodinný",USA,2008,93,27
11,"Animovaný,Komedie,Rodinný",USA,2013,85,13
80,"Komedie,Muzikál",USA,1938,NaN,3
7,"Animovaný,Krátkometrážní,Rodinný,Komedie",USA,1940,NaN,1
80,Drama,Francie,2007,70,783
373,"Krimi,Drama,Mysteriózní",Velká Británie,(2006–2007),74,88
13,"Krátkometrážní,Drama",Španělsko,2007,NaN,NaN
108,"Komedie,Muzikál,Horor,Mysteriózní",USA,1953,NaN,4
99,"Horor,Komedie",USA,2005,NaN,3
650,"Animovaný,Dobrodružný,Drama,Fantasy,Komedie,Sci-Fi",Japonsko,2006,NaN,6
56,Dokumentární,Česko,2007,NaN,5
NaN,Animovaný,USA,NaN,NaN,8
24,"Animovaný,Akční,Fantasy,Komedie",Japonsko,2014,NaN,3
24,"Animovaný,Akční,Fantasy,Komedie",Japonsko,2015,NaN,3
122,"Krimi,Thriller,Akční",Velká Británie,2008,64,236
5,"Animovaný,Komedie",USA,1960,NaN,3
22,"Komedie,Romantický",USA,2010,NaN,9
21,"Komedie,Romantický",USA,2011,72,10
92,"Akční,Mysteriózní,Thriller",USA,2008,NaN,2
400,"Animovaný,Akční,Dobrodružný,Komedie",USA,(2009–2010),NaN,4
25,"Animovaný,Sci-Fi,Rodinný",Maďarsko,1973,89,167
13,"Animovaný,Komedie,Rodinný",NaN,2001,NaN,NaN
13,"Animovaný,Komedie,Rodinný",NaN,2009,NaN,NaN
14,"Krátkometrážní,Dokumentární",NaN,1990,NaN,NaN
26,"Drama,Psychologický",USA,2008,NaN,3
24,"Animovaný,Akční,Dobrodružný,Drama,Fantasy,Komedie,Sci-Fi",Japonsko,2006,85,12
24,"Animovaný,Akční,Dobrodružný,Drama,Fantasy,Komedie,Sci-Fi",Japonsko,2006,NaN,7
96,Thriller,NaN,2007,44,63
10,"Animovaný,Komedie,Rodinný",NaN,1980,51,33
3,Komedie,Česko,2007,66,38
45,"Komedie,Krimi",Rakousko,2005,NaN,NaN
NaN,"Rodinný,Animovaný,Krátkometrážní,Komedie",USA,NaN,NaN,2
13,"Animovaný,Rodinný",Francie,2008,NaN,NaN
NaN,Historický,NaN,NaN,NaN,NaN
120,Drama,Velká Británie,1973,NaN,9
NaN,Krátkometrážní,USA,NaN,NaN,NaN
6,"Animovaný,Rodinný,Krátkometrážní,Komedie",USA,1953,NaN,1
6,"Animovaný,Krátkometrážní,Komedie",USA,1979,NaN,3
30,"Komedie,Drama",Francie,2008,NaN,NaN
94,"Dobrodružný,Fantasy,Sci-Fi,Thriller",USA,2009,53,9 467
40,"Thriller,Horor,Krátkometrážní",NaN,2011,NaN,1
NaN,,NaN,NaN,NaN,NaN
76,Komedie,NaN,1975,NaN,1
108,"Akční,Horor,Thriller,Sci-Fi",USA,1995,59,3 058
80,"Komedie,Romantický",USA,1919,75,15
9,"Drama,Krátkometrážní",Španělsko,2005,NaN,1
14,"Animovaný,Loutkový,Krátkometrážní,Pohádka",NaN,1977,80,145
97,Komedie,NaN,2007,74,141
94,Drama,NaN,2007,65,35
105,"Thriller,Drama",USA,1966,66,486
24,"Komedie,Rodinný",USA,2009,NaN,3
6,Krátkometrážní,USA,1963,58,22
96,"Akční,Horor,Fantasy",USA,2010,45,10 365
25,"Animovaný,Akční,Fantasy,Komedie",Japonsko,2005,NaN,NaN
25,"Animovaný,Akční,Fantasy,Komedie",Japonsko,2007,NaN,NaN
129,"Romantický,Drama",Velká Británie,2011,65,547
90,"Komedie,Drama",NaN,1989,NaN,2
23,"Animovaný,Akční,Drama,Fantasy,Horor",Japonsko,2007,NaN,NaN
23,"Animovaný,Akční,Drama,Fantasy,Horor",Japonsko,2007,NaN,NaN
23,"Animovaný,Akční,Drama,Fantasy,Horor",Japonsko,2007,NaN,NaN
23,"Animovaný,Akční,Drama,Fantasy,Horor",Japonsko,2008,NaN,NaN
23,"Animovaný,Akční,Drama,Fantasy,Horor",Japonsko,2008,NaN,NaN
23,"Animovaný,Akční,Drama,Fantasy,Horor",Japonsko,2008,NaN,NaN
101,"Mysteriózní,Thriller",USA,2008,47,321
NaN,,NaN,NaN,NaN,NaN
94,"Drama,Thriller",USA,2007,NaN,1
98,"Drama,Thriller",USA,2007,34,60
75,Dokumentární,Česko,2000,NaN,NaN
137,"Dokumentární,Komedie",Česko,2004,85,133
24,Drama,Polsko,2007,NaN,NaN
24,Drama,Polsko,2007,NaN,NaN
44,"Akční,Krimi,Drama",Polsko,2007,NaN,1
NaN,Krátkometrážní,Francie,NaN,NaN,NaN
NaN,Drama,NaN,NaN,NaN,2
60,Sci-Fi,Maďarsko,1973,NaN,1
4471,"Mysteriózní,Sci-Fi,Thriller,Horor",USA,(2008–2013),80,9 201
115,,NaN,2008,NaN,2
92,Komedie,Velká Británie,1960,63,14
88,"Mysteriózní,Thriller",USA,2007,36,48
112,"Dokumentární,Hudební",USA,2006,88,16
59,Krimi,Maďarsko,1974,NaN,NaN
56,Romantický,Maďarsko,1979,NaN,NaN
90,"Thriller,Drama,Mysteriózní",Kanada,2006,49,96
23,Komedie,Maďarsko,1992,NaN,NaN
24,Komedie,Maďarsko,1993,NaN,NaN
NaN,Komedie,Maďarsko,NaN,NaN,NaN
NaN,Dokumentární,Polsko,NaN,NaN,NaN
5,Krátkometrážní,NaN,1992,58,10
57,"Hudební,Dokumentární",Česko,2005,92,438
NaN,,NaN,NaN,NaN,NaN
NaN,,NaN,NaN,NaN,1
10,"Dokumentární,Krátkometrážní",Německo,2001,NaN,NaN
80,Drama,NaN,2007,55,43
80,"Hudební,Romantický",NaN,1940,NaN,2
42,Drama,USA,2009,NaN,4
42,"Drama,Krimi,Mysteriózní,Thriller",USA,2012,NaN,7
NaN,Drama,NaN,NaN,NaN,NaN
NaN,"Dokumentární,Válečný",NaN,NaN,NaN,NaN
79,"Hudební,Komedie,Rodinný,Romantický",NaN,1947,65,218
72,Drama,NaN,1944,NaN,4
NaN,,NaN,NaN,NaN,NaN
188,"Rodinný,Hudební",NaN,1981,72,105
105,Drama,NaN,1973,NaN,NaN
41,"Drama,Krimi,Mysteriózní,Thriller",USA,2012,78,137
43,"Drama,Krimi,Mysteriózní,Thriller",USA,2014,75,142
37,"Animovaný,Horor,Akční,Drama",Japonsko,1986,NaN,8
22,"Drama,Hudební",Kanada,2006,NaN,NaN
24,"Animovaný,Drama,Fantasy,Romantický",Japonsko,2008,NaN,2
28,"Komedie,Drama",USA,2011,NaN,NaN
NaN,Pornografický,USA,NaN,NaN,3
26,"Romantický,Komedie,Drama",Francie,2016,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2016,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2015,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2014,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2012,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2012,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2012,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2010,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2010,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2010,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2010,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2008,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2008,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2008,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2007,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2007,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2007,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2006,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2006,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2006,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2006,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2005,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2018,NaN,NaN
26,"Romantický,Komedie,Drama",Francie,2018,NaN,NaN
50,Dokumentární,USA,2005,NaN,2
6,Krátkometrážní,Česko,2007,NaN,1
85,Komedie,Velká Británie,1938,72,23
98,Komedie,NaN,2007,NaN,NaN
90,"Pornografický,Romantický",USA,2003,NaN,5
69,Pornografický,USA,2003,NaN,1
95,"Komedie,Romantický",USA,1947,NaN,7
7,Krátkometrážní,NaN,1986,NaN,2
NaN,"Krátkometrážní,Drama,Romantický",USA,NaN,NaN,NaN
19,"Komedie,Muzikál,Krátkometrážní",USA,1934,NaN,1
NaN,"Krátkometrážní,Drama",USA,NaN,NaN,NaN
45,Komedie,Německo,2004,NaN,6
9,"Loutkový,Pohádka,Krátkometrážní",NaN,1989,NaN,3
NaN,,NaN,NaN,NaN,NaN
NaN,Komedie,USA,NaN,NaN,NaN
20,"Dokumentární,Krátkometrážní",Česko,2005,84,11
NaN,,NaN,NaN,NaN,NaN
93,Romantický,NaN,1955,NaN,1
92,Sci-Fi,Kanada,2004,16,189
90,Sci-Fi,USA,2007,48,128
21,"Animovaný,Krimi,Krátkometrážní",NaN,1978,NaN,2
10,"Animovaný,Krátkometrážní",USA,1990,NaN,NaN
10,"Krátkometrážní,Animovaný,Komedie",Kanada,2000,NaN,8
90,Horor,NaN,2002,NaN,2
NaN,Dokumentární,USA,NaN,NaN,4
45,"Komedie,Rodinný",NaN,1989,NaN,NaN
45,"Komedie,Rodinný",NaN,1992,NaN,NaN
45,"Komedie,Rodinný",NaN,1993,NaN,NaN
45,"Komedie,Rodinný",NaN,1993,NaN,NaN
45,"Komedie,Rodinný",NaN,1997,NaN,NaN
104,Komedie,Německo,2009,71,73
NaN,,NaN,NaN,NaN,NaN
14,"Dokumentární,Krátkometrážní",Česko,1997,NaN,1
10,Krátkometrážní,Velká Británie,1949,NaN,NaN
75,"Dobrodružný,Fantasy,Horor",USA,2001,NaN,3
NaN,Komedie,USA,NaN,NaN,2
298,Dokumentární,Velká Británie,2006,NaN,1
22,Dokumentární,Velká Británie,2007,NaN,NaN
11,"Animovaný,Krátkometrážní",Itálie,1974,NaN,7
29,Krátkometrážní,NaN,1973,NaN,NaN
93,Drama,NaN,1960,NaN,NaN
113,"Drama,Akční",NaN,2008,75,611
14,"Krátkometrážní,Komedie",USA,2001,NaN,1
60,Komedie,USA,2005,NaN,2
NaN,,NaN,NaN,NaN,NaN
21,Komedie,USA,2010,NaN,1
14,"Dokumentární,Krátkometrážní",Česko,1993,NaN,4
NaN,Horor,USA,NaN,NaN,NaN
45,Krimi,Německo,2008,NaN,NaN
68,"Dokumentární,Hudební",NaN,2008,NaN,5
24,Komedie,Německo,2006,NaN,2
26,"Animovaný,Rodinný",NaN,2013,NaN,4
NaN,Drama,NaN,NaN,NaN,NaN
154,"Thriller,Akční,Krimi",NaN,2008,57,48
7,"Animovaný,Rodinný",Česko,2010,NaN,5
50,"Dobrodružný,Drama,Rodinný,Fantasy",Velká Británie,2010,86,29
NaN,Drama,USA,NaN,NaN,2
52,"Krimi,Drama,Mysteriózní",Francie,2017,NaN,NaN
7,"Dokumentární,Krátkometrážní",USA,2008,71,20
8,Loutkový,Česko,2003,71,30
52,Dokumentární,NaN,2007,NaN,NaN
90,"Komedie,Drama",USA,2000,65,34
89,"Dokumentární,Historický",NaN,2010,NaN,1
323,"Animovaný,Drama,Fantasy,Komedie",Japonsko,2017,92,48
5,"Animovaný,Krátkometrážní",Polsko,2007,NaN,9
5,"Animovaný,Krátkometrážní",Polsko,2007,NaN,3
NaN,Dokumentární,Velká Británie,NaN,NaN,1
25,Krátkometrážní,USA,1940,NaN,NaN
84,Horor,USA,1972,46,14
26,Dokumentární,Česko,2009,81,78
26,Dokumentární,Česko,2009,77,97
27,Dokumentární,Česko,2010,74,64
26,Dokumentární,Česko,2010,72,71
26,Dokumentární,Česko,2011,72,51
26,Dokumentární,Česko,2019,67,27
NaN,"Krátkometrážní,Komedie",NaN,NaN,NaN,2
18,Dokumentární,Česko,2008,58,41
42,"Akční,Drama,Thriller",USA,2019,NaN,NaN
25,"Animovaný,Akční,Drama,Fantasy,Komedie,Sci-Fi",Japonsko,2010,NaN,4
73,,USA,2002,NaN,1
25,Komedie,Německo,2015,NaN,NaN
60,Reality-TV,Česko,2005,25,9 811
21,Komedie,USA,2007,NaN,NaN
52,"Drama,Thriller",Francie,2016,95,12
52,"Drama,Thriller",Francie,2017,94,13
14,"Horor,Krátkometrážní,Romantický",NaN,2008,68,343
52,"Dokumentární,Historický,Válečný",NaN,2007,NaN,3
105,Drama,NaN,2005,NaN,4
85,Komedie,USA,2008,85,941
25,Komedie,Polsko,2006,NaN,NaN
25,Komedie,Polsko,2007,NaN,NaN
25,Komedie,Polsko,2009,NaN,NaN
25,Komedie,Polsko,2009,NaN,NaN
87,"Pohádka,Historický",NaN,2010,5,45
99,,NaN,1939,NaN,NaN
NaN,Drama,NaN,NaN,76,10
43,Dokumentární,USA,2015,NaN,6
57,"Dokumentární,Drama",Česko,2003,58,52
NaN,"Krátkometrážní,Válečný",NaN,NaN,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
600,Komedie,Německo,(2008–2013),NaN,NaN
NaN,"Hudební,Reality-TV",Slovensko,NaN,46,1 646
NaN,"Animovaný,Krátkometrážní",Francie,NaN,NaN,8
26,Dokumentární,Francie,2007,82,376
86,Komedie,NaN,1937,NaN,NaN
7,Krátkometrážní,USA,1953,NaN,6
24,"Animovaný,Drama,Komedie,Romantický",Japonsko,2008,80,19
23,Krátkometrážní,Francie,1998,NaN,NaN
90,Drama,Francie,2008,NaN,NaN
6,"Krátkometrážní,Drama",USA,2006,NaN,NaN
NaN,Drama,Česko,NaN,60,32
96,Drama,NaN,2006,NaN,3
185,Dokumentární,NaN,1972,NaN,5
NaN,"Komedie,Krátkometrážní",USA,NaN,75,48
8,Krátkometrážní,Japonsko,1982,81,23
52,Krimi,Francie,2006,NaN,NaN
52,Krimi,Francie,2007,NaN,NaN
208,"Krimi,Thriller",Francie,2011,NaN,NaN
NaN,Dokumentární,NaN,NaN,NaN,NaN
17,Dokumentární,Česko,2008,NaN,8
129,"Komedie,Drama,Romantický",NaN,2008,56,38
NaN,,Francie,NaN,NaN,NaN
81,"Komedie,Rodinný",USA,2004,NaN,6
NaN,,Japonsko,NaN,NaN,NaN
6,Komedie,USA,2008,NaN,2
11,Komedie,USA,2010,NaN,NaN
11,Komedie,USA,2010,NaN,NaN
11,Komedie,USA,2016,NaN,NaN
NaN,,Francie,NaN,NaN,NaN
87,"Krimi,Drama,Mysteriózní",Francie,2006,64,11
77,Komedie,Španělsko,2005,15,15
50,"Drama,Krimi",NaN,2007,NaN,NaN
43,"Krimi,Komedie,Drama,Mysteriózní",USA,2009,85,90
44,"Krimi,Komedie,Drama,Mysteriózní",USA,2012,86,78
44,"Krimi,Komedie,Drama,Mysteriózní",USA,2013,79,70
43,"Krimi,Komedie,Drama,Mysteriózní",USA,2013,82,76
45,"Krimi,Komedie,Drama,Mysteriózní",USA,2013,82,68
45,"Krimi,Komedie,Drama,Mysteriózní",USA,2013,78,63
17,"Dokumentární,Reality-TV",Česko,2008,72,223
30,Komedie,Španělsko,1980,NaN,NaN
48,"Krimi,Drama,Mysteriózní",NaN,2011,84,41
43,"Krimi,Drama,Mysteriózní",NaN,2020,70,29
NaN,"Drama,Romantický",Maďarsko,NaN,NaN,NaN
NaN,"Drama,Romantický",Maďarsko,NaN,NaN,NaN
25,,NaN,1989,NaN,NaN
43,"Krimi,Drama,Thriller,Mysteriózní",USA,2011,70,42
114,Sci-Fi,NaN,1932,50,14
45,"Krimi,Drama",Německo,2007,NaN,6
45,"Krimi,Drama",Německo,2011,NaN,4
45,"Krimi,Drama",Německo,2017,NaN,5
42,"Krimi,Drama,Mysteriózní,Thriller",NaN,2007,NaN,NaN
42,"Krimi,Drama,Mysteriózní,Thriller",NaN,2010,NaN,NaN
NaN,Dokumentární,USA,NaN,NaN,2
NaN,Krátkometrážní,Francie,NaN,NaN,2
345,"Akční,Drama,Dobrodružný",NaN,2009,66,171
10,Krátkometrážní,NaN,1976,NaN,1
69,Drama,NaN,1972,NaN,NaN
25,"Animovaný,Akční,Drama,Fantasy",Japonsko,2008,NaN,NaN
45,Krimi,NaN,1970,NaN,NaN
45,"Dokumentární,Krimi,Akční",USA,2009,NaN,NaN
44,"Dokumentární,Krimi,Akční",USA,2010,NaN,NaN
15,"Krátkometrážní,Drama",USA,2006,NaN,NaN
45,Rodinný,Německo,2008,NaN,NaN
15,"Krátkometrážní,Drama",Velká Británie,2008,NaN,1
45,"Komedie,Fantasy",Německo,2012,NaN,NaN
28,"Komedie,Sportovní",USA,2010,75,21
44,"Dokumentární,Krátkometrážní",Itálie,2003,NaN,NaN
45,"Komedie,Drama,Hudební,Muzikál",USA,2011,85,36
NaN,Pornografický,USA,NaN,NaN,1
832,Krimi,Francie,2009,NaN,3
90,Komedie,Francie,2006,NaN,3
91,"Komedie,Krimi,Thriller",NaN,2008,NaN,1
81,"Thriller,Drama,Krimi,Mysteriózní,Western",USA,1955,75,1 153
18,"Krátkometrážní,Komedie,Drama",USA,2005,NaN,NaN
87,Krimi,NaN,2007,NaN,1
11,Krátkometrážní,NaN,1967,74,32
83,Horor,USA,2003,NaN,3
48,Dokumentární,Česko,2007,61,79
30,,USA,1950,NaN,1
79,"Horor,Mysteriózní,Thriller",Velká Británie,1942,NaN,4
NaN,,USA,NaN,69,27
NaN,Pornografický,USA,NaN,87,12
NaN,"Animovaný,Krátkometrážní",USA,NaN,NaN,NaN
NaN,,USA,NaN,NaN,NaN
NaN,Horor,Kanada,NaN,NaN,NaN
89,"Krimi,Thriller,Drama",NaN,2010,77,141
46,Drama,Slovensko,2009,64,21
12,"Animovaný,Komedie",USA,2007,NaN,5
7,"Animovaný,Krátkometrážní,Hudební,Romantický",USA,1959,NaN,NaN
98,"Komedie,Drama",Itálie,1954,NaN,3
84,"Komedie,Horor,Thriller",USA,2003,NaN,NaN
NaN,Komedie,USA,NaN,NaN,NaN
110,"Drama,Životopisný,Historický",NaN,1990,NaN,5
90,Horor,USA,2006,NaN,3
4737,"Animovaný,Dobrodružný,Komedie,Rodinný",USA,(2006–2022),64,180
30,"Dokumentární,Historický",Velká Británie,2007,65,103
8,Dokumentární,Česko,2009,76,74
60,"Romantický,Drama,Mysteriózní",NaN,2004,89,48
15,Dokumentární,Německo,2004,NaN,NaN
21,Komedie,USA,2010,83,77
22,Komedie,USA,2015,93,42
52,"Dokumentární,Životopisný",Česko,2010,71,25
87,Drama,NaN,1977,NaN,2
43,"Dobrodružný,Drama,Sci-Fi,Fantasy",USA,2017,65,122
18,"Komedie,Krátkometrážní",USA,1939,NaN,NaN
86,"Thriller,Horor",USA,2010,59,1 003
106,"Akční,Drama",NaN,2009,66,1 425
90,"Thriller,Krimi",NaN,2007,NaN,6
104,"Akční,Dobrodružný,Komedie",NaN,2009,56,14
416,Krimi,Francie,2007,NaN,1
52,Krimi,Francie,2017,NaN,NaN
49,Krimi,Francie,2018,NaN,NaN
10,Krátkometrážní,Německo,2006,NaN,5
NaN,Dokumentární,USA,NaN,NaN,1
90,Romantický,Kanada,2008,42,11
44,"Drama,Rodinný",Kanada,2015,NaN,2
44,"Drama,Rodinný",Kanada,2016,NaN,1
44,"Drama,Rodinný",Kanada,2021,NaN,1
NaN,Akční,NaN,NaN,NaN,3
24,"Animovaný,Akční,Fantasy",Japonsko,2007,72,60
10,"Animovaný,Krátkometrážní",NaN,1991,NaN,2
95,Drama,USA,2009,79,560
NaN,Drama,Itálie,NaN,NaN,1
17,"Loutkový,Pohádka",NaN,1986,NaN,2
100,Drama,USA,1990,NaN,3
NaN,"Krátkometrážní,Drama",Itálie,NaN,NaN,NaN
NaN,,Itálie,NaN,NaN,NaN
94,Drama,Japonsko,1964,NaN,NaN
21,"Loutkový,Pohádka",NaN,1979,NaN,4
4,Krátkometrážní,Francie,2007,NaN,3
NaN,Drama,Japonsko,NaN,NaN,NaN
16,Komedie,NaN,1963,NaN,1
34,"Krátkometrážní,Pornografický",USA,2013,NaN,1
105,"Drama,Horor,Thriller,Krimi",NaN,2009,64,69
288,"Drama,Krimi",NaN,2006,NaN,NaN
105,Komedie,Itálie,1984,NaN,1
