delka,zanry,zeme,rok,hodnoceni_procenta,hodnoceni_pocet
24,"Animovaný,Dobrodružný,Drama,Fantasy,Komedie,Romantický",Japonsko,2003,NaN,4
46,"Akční,Krimi,Drama",Německo,2013,74,80
45,"Akční,Krimi,Drama",Německo,2012,76,78
45,"Akční,Krimi,Drama",Německo,2017,67,68
45,"Akční,Krimi,Drama",Německo,2018,65,55
96,Drama,Velká Británie,1934,NaN,NaN
90,"Krimi,Drama",Německo,1999,NaN,4
NaN,Drama,Velká Británie,NaN,NaN,NaN
60,Drama,USA,1924,NaN,NaN
NaN,Komedie,NaN,NaN,NaN,NaN
95,Komedie,Japonsko,1966,NaN,NaN
75,Dobrodružný,Velká Británie,1938,NaN,5
10,Krátkometrážní,USA,1948,NaN,NaN
NaN,"Dokumentární,Krátkometrážní",USA,NaN,NaN,NaN
10,"Krátkometrážní,Drama",Španělsko,2011,NaN,NaN
90,"Animovaný,Rodinný",USA,1987,63,267
79,Drama,NaN,1987,NaN,NaN
98,Krimi,NaN,1994,NaN,3
45,Drama,NaN,1992,NaN,1
85,"Komedie,Muzikál,Romantický",Velká Británie,1949,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
85,"Drama,Sportovní,Historický",Německo,1993,NaN,5
NaN,,Velká Británie,NaN,NaN,NaN
NaN,Muzikál,NaN,NaN,66,36
80,Komedie,NaN,1985,NaN,NaN
NaN,"Drama,Životopisný",USA,NaN,NaN,NaN
13,,NaN,1971,NaN,NaN
85,"Komedie,Romantický",NaN,2000,NaN,1
360,Drama,NaN,1976,NaN,NaN
NaN,"Komedie,Romantický",NaN,NaN,NaN,NaN
NaN,"Drama,Romantický",Velká Británie,NaN,NaN,NaN
25,"Komedie,Drama,Romantický",Německo,2003,NaN,NaN
NaN,Drama,Velká Británie,NaN,NaN,NaN
NaN,"Romantický,Krátkometrážní,Drama",USA,NaN,NaN,1
NaN,"Krátkometrážní,Komedie",USA,NaN,NaN,NaN
NaN,"Dokumentární,Muzikál",USA,NaN,NaN,1
88,"Komedie,Horor,Mysteriózní",USA,1969,NaN,NaN
NaN,Drama,USA,NaN,NaN,NaN
105,Muzikál,USA,1947,67,11
115,"Krimi,Drama,Thriller",Velká Británie,1964,72,601
102,"Rodinný,Drama,Fantasy,Sportovní",USA,1989,71,4 278
45,Drama,Německo,1998,NaN,NaN
45,Drama,Německo,2002,NaN,NaN
45,Drama,Německo,2005,NaN,NaN
1170,Drama,NaN,(1999–2000),NaN,1
585,Drama,NaN,2002,NaN,NaN
45,Komedie,NaN,1974,NaN,NaN
83,"Akční,Fantasy,Dobrodružný",NaN,1982,48,63
145,Komedie,Velká Británie,2004,88,669
108,Hudební,Japonsko,1960,NaN,NaN
NaN,"Komedie,Krátkometrážní",USA,NaN,NaN,NaN
85,"Drama,Romantický",Německo,1946,79,204
81,,NaN,1962,NaN,2
65,,Německo,1995,NaN,NaN
87,"Drama,Dobrodružný,Akční",Japonsko,1965,84,72
93,,Japonsko,1961,NaN,NaN
60,Drama,USA,2003,NaN,NaN
29,"Animovaný,Krátkometrážní,Rodinný",USA,1979,NaN,3
96,Drama,NaN,1930,NaN,NaN
91,"Horor,Thriller",USA,2004,56,1 408
80,Dokumentární,Německo,2003,NaN,NaN
30,Rodinný,Německo,1993,NaN,NaN
81,Komedie,Velká Británie,1954,NaN,1
105,Drama,NaN,2015,NaN,NaN
97,"Akční,Horor,Sci-Fi",NaN,2005,29,1 122
288,"Animovaný,Dobrodružný,Fantasy,Komedie",Japonsko,2017,65,16
NaN,"Komedie,Krátkometrážní",USA,NaN,NaN,1
45,"Komedie,Drama,Romantický",Velká Británie,2003,NaN,9
97,"Drama,Romantický,Životopisný",NaN,1993,58,55
86,"Drama,Komedie,Romantický",NaN,1991,70,296
64,"Drama,Romantický",USA,1932,NaN,1
300,"Animovaný,Dobrodružný,Komedie,Fantasy,Romantický",Japonsko,2008,61,67
133,"Komedie,Romantický",NaN,2003,NaN,1
25,"Fantasy,Sci-Fi,Válečný",Velká Británie,2002,NaN,2
70,"Animovaný,Rodinný,Komedie,Mysteriózní",USA,1999,78,759
40,"Animovaný,Rodinný",USA,1996,63,26
NaN,"Animovaný,Pohádka",USA,NaN,NaN,3
111,Drama,USA,1980,65,23
18,"Dokumentární,Životopisný",Česko,2000,63,15
120,"Fantasy,Rodinný",USA,1982,NaN,2
90,"Drama,Thriller",Francie,1990,NaN,2
NaN,Drama,Velká Británie,NaN,NaN,NaN
81,Horor,USA,2003,36,55
60,Muzikál,USA,1987,NaN,2
66,Dokumentární,USA,2001,80,49
87,"Drama,Romantický,Válečný",Polsko,1993,NaN,3
NaN,,Francie,NaN,NaN,NaN
83,"Sci-Fi,Krimi,Akční,Drama,Mysteriózní",NaN,1999,60,11
NaN,"Komedie,Drama,Muzikál",NaN,NaN,NaN,NaN
90,"Drama,Krimi",Francie,2015,62,61
25,"Komedie,Rodinný",NaN,1983,NaN,2
105,"Komedie,Drama",NaN,1994,NaN,NaN
88,"Drama,Romantický",USA,2003,43,29
110,,NaN,2004,NaN,2
102,"Komedie,Válečný",NaN,1983,NaN,2
NaN,"Drama,Krátkometrážní",NaN,NaN,NaN,2
47,"Drama,Krimi,Mysteriózní",Velká Británie,2010,62,27
98,,NaN,1968,NaN,1
79,Drama,NaN,1983,75,17
52,"Rodinný,Fantasy",Velká Británie,1973,NaN,NaN
NaN,,Japonsko,NaN,NaN,NaN
97,Komedie,Španělsko,1967,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
90,Romantický,NaN,1999,NaN,NaN
32,Krátkometrážní,NaN,1997,NaN,NaN
92,Komedie,Španělsko,1962,NaN,3
85,Komedie,NaN,1962,NaN,NaN
110,"Drama,Romantický,Válečný",Francie,1994,76,280
110,"Akční,Dobrodružný,Krimi,Drama",NaN,1975,NaN,NaN
80,Horor,USA,1972,61,37
NaN,,NaN,NaN,NaN,NaN
90,Komedie,Německo,2001,NaN,NaN
30,Komedie,USA,1998,NaN,NaN
NaN,Drama,USA,NaN,NaN,NaN
90,"Komedie,Rodinný",Německo,2001,NaN,2
103,Rodinný,Maďarsko,1973,NaN,NaN
95,Drama,NaN,1988,NaN,NaN
27,"Dobrodružný,Rodinný,Fantasy",NaN,1969,83,14
95,Komedie,Velká Británie,1977,55,11
70,Krimi,Česko,1995,61,40
24,"Krátkometrážní,Drama,Válečný",NaN,1945,NaN,7
99,,NaN,1980,NaN,1
86,Komedie,USA,2000,NaN,1
93,Drama,NaN,1935,NaN,2
NaN,Krátkometrážní,Francie,NaN,NaN,NaN
100,Drama,NaN,1956,NaN,NaN
46,Krimi,Německo,1994,NaN,NaN
54,Western,USA,1946,NaN,NaN
97,"Komedie,Muzikál,Drama",NaN,2000,70,10
17,"Komedie,Krátkometrážní",USA,1940,NaN,NaN
17,"Krátkometrážní,Komedie",USA,1947,NaN,NaN
16,"Komedie,Krátkometrážní",USA,1958,NaN,NaN
96,,Rakousko,1994,NaN,NaN
NaN,"Akční,Drama",NaN,NaN,NaN,NaN
99,Komedie,NaN,1981,NaN,2
NaN,"Dokumentární,Muzikál",Francie,NaN,NaN,NaN
42,Experimentální,Francie,1967,87,14
60,"Akční,Krimi,Drama",USA,1983,NaN,5
60,"Akční,Krimi,Drama",USA,1985,NaN,4
60,"Akční,Krimi,Drama",USA,1985,NaN,4
89,"Romantický,Erotický",NaN,1971,NaN,NaN
90,Krimi,NaN,1989,NaN,NaN
90,Krimi,NaN,1995,NaN,1
90,Krimi,NaN,2005,NaN,1
88,Drama,NaN,1970,NaN,1
828,"Animovaný,Akční,Dobrodružný,Komedie,Rodinný,Sci-Fi",USA,(2008–2010),NaN,NaN
95,,Maďarsko,1970,NaN,NaN
112,Muzikál,NaN,1981,NaN,3
91,Krimi,Německo,2002,48,13
99,Drama,Maďarsko,1962,NaN,5
80,Komedie,Itálie,1996,NaN,NaN
NaN,Komedie,Itálie,NaN,NaN,NaN
NaN,,Itálie,NaN,NaN,NaN
85,,Japonsko,1981,NaN,2
NaN,,NaN,NaN,NaN,6
450,Krimi,Německo,1993,NaN,1
43,Krimi,Německo,2001,NaN,NaN
67,"Komedie,Mysteriózní",USA,1940,NaN,NaN
90,Komedie,Rakousko,1936,NaN,3
97,Komedie,NaN,1973,NaN,2
88,Drama,Německo,1997,NaN,NaN
90,Komedie,Německo,1997,NaN,NaN
92,"Rodinný,Dobrodružný",USA,1994,49,1 004
17,Krátkometrážní,Kanada,1996,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
64,"Krimi,Komedie,Akční",Maďarsko,1986,NaN,4
69,Drama,USA,1933,NaN,NaN
NaN,Drama,USA,NaN,NaN,NaN
NaN,"Komedie,Krátkometrážní",Španělsko,NaN,NaN,NaN
91,Komedie,Španělsko,1969,NaN,NaN
92,"Válečný,Romantický,Komedie",Španělsko,1960,NaN,1
106,,NaN,1964,NaN,NaN
87,Komedie,Itálie,1989,NaN,4
26,"Rodinný,Komedie",Maďarsko,2002,NaN,NaN
93,"Drama,Horor,Sci-Fi",USA,1998,56,57
96,"Krimi,Mysteriózní,Thriller",NaN,1966,NaN,NaN
117,Drama,NaN,1987,NaN,NaN
NaN,Krátkometrážní,NaN,NaN,NaN,NaN
105,,Francie,1982,NaN,NaN
NaN,,Španělsko,NaN,NaN,NaN
102,Western,USA,1955,78,38
45,Drama,USA,1996,NaN,NaN
NaN,"Drama,Romantický",NaN,NaN,NaN,NaN
80,"Drama,Komedie",USA,2001,NaN,3
93,"Komedie,Drama",NaN,2002,74,152
1,"Krátkometrážní,Animovaný",Kanada,1999,NaN,NaN
88,Komedie,Německo,2001,NaN,NaN
2430,Drama,Německo,(1994–1997),NaN,3
99,"Komedie,Drama",USA,1994,69,122
92,Komedie,Německo,1995,NaN,NaN
25,Krimi,NaN,1968,NaN,NaN
84,Drama,NaN,1964,NaN,NaN
55,"Krimi,Komedie,Drama",NaN,1987,NaN,NaN
55,"Krimi,Komedie,Drama",Německo,1991,NaN,NaN
45,"Krimi,Komedie,Drama",Německo,2000,NaN,NaN
50,"Krimi,Komedie,Drama",Německo,2005,NaN,NaN
50,"Krimi,Komedie,Drama",Německo,2012,NaN,NaN
48,"Krimi,Komedie,Drama",Německo,2015,NaN,NaN
48,"Krimi,Komedie,Drama",Německo,2015,NaN,NaN
85,Rodinný,USA,1971,NaN,8
76,,Francie,1948,NaN,NaN
20,"Dokumentární,Krátkometrážní",Španělsko,1968,NaN,NaN
NaN,"Krátkometrážní,Dokumentární",Francie,NaN,NaN,NaN
105,Drama,Itálie,1950,66,13
50,"Krimi,Drama",Velká Británie,1998,NaN,NaN
100,Drama,NaN,2000,NaN,1
65,Western,USA,1942,NaN,NaN
83,,NaN,1986,NaN,NaN
NaN,Krátkometrážní,NaN,NaN,NaN,NaN
92,"Drama,Komedie",Francie,1996,NaN,NaN
NaN,Krátkometrážní,NaN,NaN,NaN,NaN
231,Dobrodružný,USA,1933,NaN,1
51,"Drama,Romantický",Francie,1997,NaN,2
51,"Drama,Romantický",Francie,1998,NaN,2
51,"Drama,Romantický",Francie,2000,NaN,2
51,"Drama,Romantický",Francie,2001,NaN,2
51,"Drama,Romantický",Francie,2003,NaN,2
51,"Drama,Romantický",Francie,2004,NaN,2
49,"Drama,Romantický",Francie,2007,NaN,2
50,"Drama,Romantický",Francie,2007,NaN,2
50,"Drama,Romantický",Francie,2008,NaN,2
104,"Muzikál,Drama,Akční",NaN,1967,NaN,3
49,"Drama,Romantický,Hudební",NaN,1992,78,60
100,"Akční,Komedie,Válečný",NaN,1978,NaN,NaN
45,Krimi,Německo,2001,15,414
88,"Akční,Krimi,Thriller",USA,1997,36,21
92,"Krimi,Akční",Německo,2002,15,12
115,Drama,NaN,1992,NaN,4
22,"Animovaný,Komedie,Akční",NaN,2013,NaN,4
1363,"Drama,Romantický",NaN,2019,NaN,NaN
95,Krimi,Německo,2003,46,13
24,Krátkometrážní,USA,1969,NaN,NaN
87,,Japonsko,1994,NaN,NaN
94,"Akční,Drama",USA,1994,44,43
NaN,Animovaný,Velká Británie,NaN,NaN,NaN
55,Drama,NaN,1995,NaN,3
95,Drama,Itálie,1996,NaN,NaN
26,Krátkometrážní,Francie,1999,NaN,NaN
NaN,,Francie,NaN,NaN,NaN
100,"Drama,Western",USA,1997,63,74
792,"Animovaný,Akční,Fantasy,Sportovní",Japonsko,2014,NaN,1
NaN,,Japonsko,NaN,NaN,NaN
22,"Animovaný,Komedie,Rodinný,Western",NaN,2002,NaN,2
7,"Animovaný,Komedie,Rodinný",NaN,1998,85,11
7,"Animovaný,Komedie,Rodinný",NaN,2008,NaN,1
7,"Animovaný,Komedie,Rodinný",NaN,2008,NaN,1
7,"Animovaný,Komedie,Rodinný",NaN,2012,NaN,1
7,"Animovaný,Komedie,Rodinný",NaN,2012,NaN,NaN
7,"Animovaný,Komedie,Rodinný",NaN,2012,NaN,1
8,"Animovaný,Komedie,Rodinný",NaN,2017,NaN,NaN
8,"Animovaný,Rodinný,Krátkometrážní",NaN,1969,88,2 525
106,"Životopisný,Drama,Válečný",NaN,1996,72,39
101,Drama,Itálie,1969,80,29
102,Drama,NaN,1962,83,16
104,"Animovaný,Komedie,Rodinný",Japonsko,1999,76,592
NaN,"Muzikál,Rodinný,Fantasy",Kanada,NaN,NaN,NaN
180,Akční,USA,1997,53,201
NaN,"Krimi,Drama",Francie,NaN,NaN,NaN
25,"Komedie,Horor,Rodinný",USA,1964,NaN,1
87,Drama,NaN,1979,NaN,NaN
83,"Akční,Krimi,Thriller",USA,1989,66,896
52,Drama,NaN,1968,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
102,Komedie,NaN,1983,NaN,NaN
88,,Francie,1931,NaN,NaN
81,,Francie,1939,NaN,NaN
88,Komedie,Velká Británie,1966,66,10
93,"Drama,Romantický",USA,1930,NaN,NaN
28,Komedie,Velká Británie,2001,78,24
28,Komedie,Velká Británie,2002,75,23
29,Komedie,Velká Británie,2002,64,20
29,Komedie,Velká Británie,2006,66,16
60,Talk-show,USA,1998,NaN,NaN
87,Drama,USA,1993,NaN,4
80,Komedie,Velká Británie,1958,NaN,NaN
168,Romantický,NaN,2000,NaN,NaN
60,"Akční,Romantický",NaN,2003,NaN,3
45,Krimi,Německo,2006,NaN,NaN
45,Krimi,Německo,2011,NaN,NaN
45,Krimi,Německo,2013,NaN,NaN
187,"Drama,Komedie",USA,1993,76,1 328
105,Drama,Německo,1993,NaN,NaN
25,"Animovaný,Dobrodružný,Fantasy,Komedie,Romantický",Japonsko,1999,NaN,NaN
25,"Animovaný,Dobrodružný,Fantasy,Komedie,Romantický",Japonsko,2018,NaN,NaN
97,Drama,USA,2002,NaN,2
