delka,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zeme
22.0,2016,76.0,34,2,10
22.0,2016,64.0,34,2,10
22.0,2020,68.0,10,2,10
94.0,2005,40.0,13,22,10
100.0,1984,52.0,15,5,10
93.0,1997,63.0,6690,12,10
324.0,2015,64.0,192,2,3
1095.0,2003,36.0,44,13,6
112.0,1997,79.0,416,5,4
92.0,1993,52.0,220,22,10
91.0,1997,72.0,1696,12,10
100.0,1983,87.0,14,5,10
99.0,2006,41.0,3055,12,10
22.0,2010,69.0,13,2,10
22.0,2010,71.0,11,2,10
100.0,2006,72.0,11085,2,10
93.0,2009,60.0,3243,5,9
22.0,1988,48.0,13,2,10
540.0,2005,71.0,14,5,10
21.0,2006,86.0,449,12,10
22.0,2009,87.0,319,12,10
22.0,2010,80.0,308,12,10
12.0,2008,73.0,518,14,12
86.0,1978,60.0,122,4,11
111.0,1945,82.0,703,5,10
43.0,2008,79.0,67,5,10
43.0,2015,80.0,46,5,10
43.0,2016,72.0,43,5,10
43.0,2018,73.0,47,5,10
92.0,1993,59.0,9628,12,10
20.0,2010,54.0,29,14,12
25.0,2005,76.0,177,2,10
25.0,2006,93.0,155,2,10
550.0,2007,96.0,551,2,10
25.0,2008,95.0,153,2,10
30.0,2008,98.0,184,2,10
95.0,1958,74.0,46,12,3
75.0,2006,65.0,971,2,10
26.0,2010,77.0,29,12,10
26.0,2012,67.0,27,12,10
92.0,2005,64.0,1038,5,11
26.0,2015,58.0,31,4,12
96.0,1980,58.0,32,5,10
53.0,1993,53.0,43,4,10
3997.0,2006,28.0,220,22,12
51.0,2005,31.0,83,22,12
55.0,2007,28.0,52,22,12
62.0,2016,29.0,25,22,12
59.0,2008,30.0,39,22,12
60.0,2009,32.0,41,22,12
58.0,2010,29.0,36,22,12
61.0,2016,30.0,26,22,12
62.0,2012,35.0,25,22,12
62.0,2014,33.0,22,22,12
62.0,2015,27.0,21,22,12
60.0,2018,40.0,30,22,12
43.0,2007,86.0,373,5,10
44.0,2010,91.0,264,5,10
44.0,2011,91.0,274,5,10
66.0,1980,75.0,15,22,11
85.0,2004,47.0,69,5,10
29.0,2004,67.0,22,12,10
29.0,2005,70.0,18,12,10
26.0,2007,69.0,16,12,10
25.0,2010,67.0,14,12,10
31.0,2010,79.0,18,12,10
125.0,1930,83.0,127,3,10
25.0,2003,87.0,57,2,3
100.0,2001,40.0,292,19,10
60.0,1982,84.0,26,4,10
111.0,1992,64.0,10,5,10
