rok,delka,hodnoceni_pocet,zanr,zeme
2000,52.0,135,Drama,Slovensko
2002,24.0,25,Komedie,Velká Británie
1956,6.0,42,Animovaný,USA
1969,109.0,60,Krimi,Velká Británie
1998,106.0,20,Drama,Velká Británie
2002,104.0,377,Akční,USA
2004,43.0,131,Drama,USA
2005,43.0,119,Drama,USA
2007,43.0,93,Drama,USA
2010,43.0,75,Drama,USA
2011,43.0,75,Drama,USA
2005,30.0,30,Komedie,USA
2009,42.0,26,Krimi,USA
2015,53.0,18,Dokumentární,USA
2007,22.0,45,Animovaný,USA
2013,22.0,29,Animovaný,USA
2016,22.0,34,Animovaný,USA
2016,22.0,34,Animovaný,USA
2020,22.0,10,Animovaný,USA
2005,94.0,13,Rodinný,USA
1984,100.0,15,Drama,USA
1997,93.0,6 690,Komedie,USA
(2015–2017),324.0,192,Animovaný,Japonsko
(2003–2006),1095.0,44,Krimi,Německo
1997,112.0,416,Drama,Kanada
1993,92.0,220,Rodinný,USA
1997,91.0,1 696,Komedie,USA
1983,100.0,14,Drama,USA
2006,99.0,3 055,Komedie,USA
2010,22.0,13,Animovaný,USA
2010,22.0,11,Animovaný,USA
2006,100.0,11 085,Animovaný,USA
2009,93.0,3 243,Drama,Slovensko
1988,22.0,13,Animovaný,USA
2005,540.0,14,Drama,USA
2006,21.0,449,Komedie,USA
2009,22.0,319,Komedie,USA
2010,22.0,308,Komedie,USA
2008,12.0,518,Krátkometrážní,Česko
1978,86.0,122,Dokumentární,Velká Británie
1945,111.0,703,Drama,USA
2008,43.0,67,Drama,USA
2015,43.0,46,Drama,USA
2016,43.0,43,Drama,USA
2018,43.0,47,Drama,USA
1993,92.0,9 628,Komedie,USA
2010,20.0,29,Krátkometrážní,Česko
2005,25.0,177,Animovaný,USA
2006,25.0,155,Animovaný,USA
(2007–2008),550.0,551,Animovaný,USA
2008,25.0,153,Animovaný,USA
2008,30.0,184,Animovaný,USA
1958,95.0,46,Komedie,Japonsko
2006,75.0,971,Animovaný,USA
2010,26.0,29,Komedie,USA
2012,26.0,27,Komedie,USA
2005,92.0,1 038,Drama,Velká Británie
2015,26.0,31,Dokumentární,Česko
1980,96.0,32,Drama,USA
1993,53.0,43,Dokumentární,USA
(2006–2007),3997.0,220,Rodinný,Česko
2005,51.0,83,Rodinný,Česko
2007,55.0,52,Rodinný,Česko
2016,62.0,25,Rodinný,Česko
2008,59.0,39,Rodinný,Česko
2009,60.0,41,Rodinný,Česko
2010,58.0,36,Rodinný,Česko
2016,61.0,26,Rodinný,Česko
2012,62.0,25,Rodinný,Česko
2014,62.0,22,Rodinný,Česko
2015,62.0,21,Rodinný,Česko
2018,60.0,30,Rodinný,Česko
2007,43.0,373,Drama,USA
2010,44.0,264,Drama,USA
2011,44.0,274,Drama,USA
1980,66.0,15,Rodinný,Velká Británie
2004,85.0,69,Drama,USA
2004,29.0,22,Komedie,USA
2005,29.0,18,Komedie,USA
2007,26.0,16,Komedie,USA
2010,25.0,14,Komedie,USA
2010,31.0,18,Komedie,USA
1930,125.0,127,Dobrodružný,USA
2003,25.0,57,Animovaný,Japonsko
2001,100.0,292,Pornografický,USA
1982,60.0,26,Dokumentární,USA
1992,111.0,10,Drama,USA
2007,45.0,304,Sci-Fi,Velká Británie
1970,9.0,17,Krátkometrážní,Kanada
2006,45.0,14,Krimi,USA
2007,43.0,12,Krimi,USA
2008,43.0,14,Krimi,USA
2018,42.0,43,Krimi,USA
2003,80.0,21,Krimi,USA
1992,86.0,11,Komedie,USA
2000,90.0,11,Dobrodružný,Francie
2007,22.0,165,Komedie,USA
2005,69.0,210,Rodinný,Česko
2020,42.0,72,Akční,USA
2007,42.0,108,Komedie,USA
2007,42.0,101,Komedie,USA
2009,44.0,91,Komedie,USA
2017,40.0,84,Komedie,USA
2006,22.0,525,Komedie,USA
2009,22.0,413,Komedie,USA
2013,22.0,335,Komedie,USA
2005,44.0,485,Horor,USA
2006,43.0,362,Horor,USA
2006,55.0,311,Horor,USA
(2008–2009),1007.0,663,Horor,USA
2009,60.0,238,Horor,USA
2014,42.0,143,Horor,USA
2015,42.0,132,Horor,USA
2006,103.0,1 362,Drama,USA
2005,54.0,33,Dokumentární,Slovensko
1995,56.0,54,Drama,Česko
2022,88.0,63,Hudební,USA
1972,73.0,13,Mysteriózní,USA
2005,7.0,39,Animovaný,Česko
2004,24.0,34,Animovaný,Japonsko
2004,24.0,26,Animovaný,Japonsko
2005,24.0,15,Animovaný,Japonsko
2002,92.0,31,Animovaný,Japonsko
(2004–2012),8784.0,118,Animovaný,Japonsko
2007,24.0,15,Animovaný,Japonsko
1992,85.0,51,Komedie,USA
2010,44.0,16,Drama,USA
2011,42.0,15,Komedie,USA
2007,50.0,13,Drama,Česko
1998,62.0,390,Pohádka,Česko
1998,66.0,138,Drama,Česko
2006,56.0,30,Dokumentární,Česko
2007,43.0,72,Drama,USA
2009,43.0,60,Drama,USA
2007,105.0,102,Drama,Velká Británie
1982,109.0,282,Komedie,Francie
1980,110.0,427,Komedie,Francie
(2009–2010),859.0,10,Komedie,USA
2006,82.0,5 778,Drama,USA
1896,1.0,92,Krátkometrážní,USA
1943,8.0,38,Krátkometrážní,USA
1981,112.0,22,Komedie,Velká Británie
2007,98.0,7 382,Komedie,USA
2007,114.0,24 968,Drama,USA
2007,85.0,4 779,Krimi,USA
1987,122.0,41,Dokumentární,Japonsko
2016,44.0,45,Dokumentární,Kanada
2016,44.0,53,Dokumentární,Kanada
2018,50.0,29,Dokumentární,Kanada
1902,1.0,31,Krátkometrážní,USA
2007,30.0,274,Dokumentární,Slovensko
2007,118.0,407,Horor,USA
1974,10.0,43,Animovaný,Kanada
1962,2.0,42,Animovaný,Velká Británie
2007,83.0,1 152,Animovaný,USA
2007,91.0,2 279,Drama,USA
2010,103.0,13 995,Horor,USA
2007,52.0,14,Drama,Česko
2007,92.0,782,Akční,USA
2005,88.0,17,Horor,USA
1997,57.0,41,Dokumentární,Česko
2005,87.0,143,Rodinný,Kanada
2006,27.0,112,Komedie,USA
1900,1.0,113,Krátkometrážní,Velká Británie
2012,47.0,46,Drama,Velká Británie
2008,90.0,115,Krimi,USA
(2005–2008),1196.0,31,Animovaný,Francie
2006,104.0,54,Rodinný,Japonsko
1972,11.0,40,Krátkometrážní,USA
1904,4.0,13,Krátkometrážní,Velká Británie
2009,22.0,326,Animovaný,USA
1982,99.0,11,Animovaný,Japonsko
2009,24.0,95,Animovaný,Japonsko
2012,24.0,91,Animovaný,Japonsko
2012,24.0,79,Animovaný,Japonsko
2014,24.0,73,Animovaný,Japonsko
2007,125.0,16,Drama,Německo
2007,113.0,39,Drama,Španělsko
2009,7.0,26,Animovaný,Velká Británie
2016,7.0,17,Animovaný,Velká Británie
2012,110.0,5 960,Komedie,Česko
1997,45.0,82,Dokumentární,USA
2007,612.0,358,Drama,USA
2007,590.0,22,Drama,USA
2007,91.0,613,Dokumentární,USA
2009,99.0,48,Drama,USA
2016,341.0,191,Drama,Velká Británie
(2007–2008),286.0,71,Komedie,USA
(2007–2010),1990.0,599,Drama,USA
1950,102.0,21,Krimi,USA
2004,29.0,14,Komedie,Velká Británie
1968,3.0,11,Krátkometrážní,Francie
2009,91.0,4 726,Akční,Velká Británie
2007,210.0,285,Dokumentární,USA
2006,92.0,39,Drama,USA
1989,50.0,11,Animovaný,Japonsko
2007,94.0,149,Drama,USA
2006,95.0,91,Thriller,Kanada
2008,11.0,27,Animovaný,USA
2013,11.0,13,Animovaný,USA
2007,80.0,783,Drama,Francie
(2006–2007),373.0,88,Krimi,Velká Británie
2008,122.0,236,Krimi,Velká Británie
2011,21.0,10,Komedie,USA
1973,25.0,167,Animovaný,Maďarsko
2006,24.0,12,Animovaný,Japonsko
2007,3.0,38,Komedie,Česko
2009,94.0,9 467,Dobrodružný,USA
1995,108.0,3 058,Akční,USA
1919,80.0,15,Komedie,USA
1966,105.0,486,Thriller,USA
1963,6.0,22,Krátkometrážní,USA
